"","Pclass","Sex","Age","Fare","Embarked","WithCabin","Survived","PassAlone"
"115","3","female",17,14.4583,"C","0","0","1"
"116","3","male",21,7.925,"S","0","0","1"
"117","3","male",70.5,7.75,"Q","0","0","1"
"118","2","male",29,21,"S","0","0","0"
"119","1","male",24,247.5208,"C","1","0","0"
"120","3","female",2,31.275,"S","0","0","0"
"121","2","male",21,73.5,"S","0","0","0"
"122","3","male",30.1010901350174,8.05,"S","0","0","1"
"123","2","male",32.5,30.0708,"C","0","0","0"
"124","2","female",32.5,13,"S","1","1","1"
"125","1","male",54,77.2875,"S","1","0","0"
"126","3","male",12,11.2417,"C","0","1","0"
"127","3","male",44.2081609345925,7.75,"Q","0","0","1"
"128","3","male",24,7.1417,"S","0","1","1"
"129","3","female",13.4391287878788,22.3583,"C","1","1","0"
"130","3","male",45,6.975,"S","0","0","1"
"131","3","male",33,7.8958,"C","0","0","1"
"132","3","male",20,7.05,"S","0","0","1"
"133","3","female",47,14.5,"S","0","0","0"
"134","2","female",29,26,"S","0","1","0"
"135","2","male",25,13,"S","0","0","1"
"136","2","male",23,15.0458,"C","0","0","1"
"137","1","female",19,26.2833,"S","1","1","0"
"138","1","male",37,53.1,"S","1","0","0"
"139","3","male",16,9.2167,"S","0","0","1"
"140","1","male",24,79.2,"C","1","0","1"
"141","3","female",25.3427733213845,15.2458,"C","0","0","0"
"142","3","female",22,7.75,"S","0","1","1"
"143","3","female",24,15.85,"S","0","1","0"
"144","3","male",19,6.75,"Q","0","0","1"
"145","2","male",18,11.5,"S","0","0","1"
"146","2","male",19,36.75,"S","0","0","0"
"147","3","male",27,7.7958,"S","0","1","1"
"148","3","female",9,34.375,"S","0","0","0"
"149","2","male",36.5,26,"S","1","0","0"
"150","2","male",42,13,"S","0","0","1"
"151","2","male",51,12.525,"S","0","0","1"
"152","1","female",22,66.6,"S","1","1","0"
"153","3","male",55.5,8.05,"S","0","0","1"
"154","3","male",40.5,14.5,"S","0","0","0"
"155","3","male",30.5519504768112,7.3125,"S","0","0","1"
"156","1","male",51,61.3792,"C","0","0","0"
"157","3","female",16,7.7333,"Q","0","1","1"
"158","3","male",30,8.05,"S","0","0","1"
"159","3","male",26.2006905074947,8.6625,"S","0","0","1"
"160","3","male",11.4594760415024,69.55,"S","0","0","0"
"161","3","male",44,16.1,"S","0","0","0"
"162","2","female",40,15.75,"S","0","1","1"
"163","3","male",26,7.775,"S","0","0","1"
"164","3","male",17,8.6625,"S","0","0","1"
"165","3","male",1,39.6875,"S","0","0","0"
"166","3","male",9,20.525,"S","0","1","0"
"167","1","female",29.2563297055771,55,"S","1","1","0"
"168","3","female",45,27.9,"S","0","0","0"
"169","1","male",46.7366508216178,25.925,"S","0","0","1"
"170","3","male",28,56.4958,"S","0","0","1"
"171","1","male",61,33.5,"S","1","0","1"
"172","3","male",4,29.125,"Q","0","0","0"
"173","3","female",1,11.1333,"S","0","1","0"
"174","3","male",21,7.925,"S","0","0","1"
"175","1","male",56,30.6958,"C","1","0","1"
"176","3","male",18,7.8542,"S","0","0","0"
"177","3","male",7.98171929824561,25.4667,"S","0","0","0"
"178","1","female",50,28.7125,"C","1","0","1"
"179","2","male",30,13,"S","0","0","1"
"180","3","male",36,0,"S","0","0","1"
"181","3","female",12.0441686062476,69.55,"S","0","0","0"
"182","2","male",30.4780023722734,15.05,"C","0","0","1"
"183","3","male",9,31.3875,"S","0","0","0"
"184","2","male",1,39,"S","1","1","0"
"185","3","female",4,22.025,"S","0","1","0"
"186","1","male",46.8753282571412,50,"S","1","0","1"
"187","3","female",29.0454025019529,15.5,"Q","0","1","0"
"188","1","male",45,26.55,"S","0","1","1"
"189","3","male",40,15.5,"Q","0","0","0"
"190","3","male",36,7.8958,"S","0","0","1"
"191","2","female",32,13,"S","0","1","1"
"192","2","male",19,13,"S","0","0","1"
"193","3","female",19,7.8542,"S","0","1","0"
"194","2","male",3,26,"S","1","1","0"
"195","1","female",44,27.7208,"C","1","1","1"
"196","1","female",58,146.5208,"C","1","1","1"
"197","3","male",39.7223749357159,7.75,"Q","0","0","1"
"198","3","male",42,8.4042,"S","0","0","0"
"199","3","female",21.8744745295942,7.75,"Q","0","1","1"
"200","2","female",24,13,"S","0","0","1"
"201","3","male",28,9.5,"S","0","0","1"
"202","3","male",11.356142708169,69.55,"S","0","0","0"
"203","3","male",34,6.4958,"S","0","0","1"
"204","3","male",45.5,7.225,"C","0","0","1"
"205","3","male",18,8.05,"S","0","1","1"
"206","3","female",2,10.4625,"S","1","0","0"
"207","3","male",32,15.85,"S","0","0","0"
"208","3","male",26,18.7875,"C","0","1","1"
"209","3","female",16,7.75,"Q","0","1","1"
"210","1","male",40,31,"C","1","1","1"
"211","3","male",24,7.05,"S","0","0","1"
"212","2","female",35,21,"S","0","1","1"
"213","3","male",22,7.25,"S","0","0","1"
"214","2","male",30,13,"S","0","0","1"
"215","3","male",30.7013801639462,7.75,"Q","0","0","0"
"216","1","female",31,113.275,"C","1","1","0"
"217","3","female",27,7.925,"S","0","1","1"
"218","2","male",42,27,"S","0","0","0"
"219","1","female",32,76.2917,"C","1","1","1"
"220","2","male",30,10.5,"S","0","0","1"
"221","3","male",16,8.05,"S","0","1","1"
"222","2","male",27,13,"S","0","0","1"
"223","3","male",51,8.05,"S","0","0","1"
"224","3","male",28.8033441684671,7.8958,"S","0","0","1"
"225","1","male",38,90,"S","1","1","0"
"226","3","male",22,9.35,"S","0","0","1"
"227","2","male",19,10.5,"S","0","1","1"
"228","3","male",20.5,7.25,"S","0","0","1"
"229","2","male",18,13,"S","0","0","1"
"230","3","female",7.38068567251462,25.4667,"S","0","0","0"
"231","1","female",35,83.475,"S","1","1","0"
"232","3","male",29,7.775,"S","0","0","1"
"233","2","male",59,13.5,"S","0","0","1"
"234","3","female",5,31.3875,"S","0","1","0"
"235","2","male",24,10.5,"S","0","0","1"
"236","3","female",25.0989172635443,7.55,"S","0","0","1"
"237","2","male",44,26,"S","0","0","0"
"238","2","female",8,26.25,"S","0","1","0"
"239","2","male",19,10.5,"S","0","0","1"
"240","2","male",33,12.275,"S","0","0","1"
"241","3","female",19.8502656488337,14.4542,"C","0","0","0"
"242","3","female",29.3069977400482,15.5,"Q","0","1","0"
"243","2","male",29,10.5,"S","0","0","1"
"244","3","male",22,7.125,"S","0","0","1"
"245","3","male",30,7.225,"C","0","0","1"
"246","1","male",44,90,"Q","1","0","0"
"247","3","female",25,7.775,"S","0","0","1"
"248","2","female",24,14.5,"S","0","1","0"
"249","1","male",37,52.5542,"S","1","1","0"
"250","2","male",54,26,"S","0","0","0"
"251","3","male",27.5029681965604,7.25,"S","0","0","1"
"252","3","female",29,10.4625,"S","1","0","0"
"253","1","male",62,26.55,"S","1","0","1"
"254","3","male",30,16.1,"S","0","0","0"
"255","3","female",41,20.2125,"S","0","0","0"
"256","3","female",29,15.2458,"C","0","1","0"
"257","1","female",34.8725111055611,79.2,"C","0","1","1"
"258","1","female",30,86.5,"S","1","1","1"
"259","1","female",35,512.3292,"C","0","1","1"
"260","2","female",50,26,"S","0","1","0"
"261","3","male",42.3450223716133,7.75,"Q","0","0","1"
"262","3","male",3,31.3875,"S","0","1","0"
"263","1","male",52,79.65,"S","1","0","0"
"264","1","male",40,0,"S","1","0","1"
"265","3","female",26.3654038607199,7.75,"Q","0","0","1"
"266","2","male",36,10.5,"S","0","0","1"
"267","3","male",16,39.6875,"S","0","0","0"
"268","3","male",25,7.775,"S","0","1","0"
"269","1","female",58,153.4625,"S","1","1","0"
"270","1","female",35,135.6333,"S","1","1","1"
"271","1","male",41.2611257286552,31,"S","0","0","1"
"272","3","male",25,0,"S","0","1","1"
"273","2","female",41,19.5,"S","0","1","0"
"274","1","male",37,29.7,"C","1","0","0"
"275","3","female",26.8514644667805,7.75,"Q","0","1","1"
"276","1","female",63,77.9583,"S","1","1","0"
"277","3","female",45,7.75,"S","0","0","1"
"278","2","male",35.7788720666583,0,"S","0","0","1"
"279","3","male",7,29.125,"Q","0","0","0"
"280","3","female",35,20.25,"S","0","1","0"
"281","3","male",65,7.75,"Q","0","0","1"
"282","3","male",28,7.8542,"S","0","0","1"
"283","3","male",16,9.5,"S","0","0","1"
"284","3","male",19,8.05,"S","0","1","1"
"285","1","male",46.0688456759082,26,"S","1","0","1"
"286","3","male",33,8.6625,"C","0","0","1"
"287","3","male",30,9.5,"S","0","1","1"
"288","3","male",22,7.8958,"S","0","0","1"
"289","2","male",42,13,"S","0","1","1"
"290","3","female",22,7.75,"Q","0","1","1"
"291","1","female",26,78.85,"S","0","1","1"
"292","1","female",19,91.0792,"C","1","1","0"
"293","2","male",36,12.875,"C","1","0","1"
"294","3","female",24,8.85,"S","0","0","1"
"295","3","male",24,7.8958,"S","0","0","1"
"296","1","male",40.5606424858026,27.7208,"C","0","0","1"
"297","3","male",23.5,7.2292,"C","0","0","1"
"298","1","female",2,151.55,"S","1","0","0"
"299","1","male",48.7164598619263,30.5,"S","1","1","1"
"300","1","female",50,247.5208,"C","1","1","0"
"301","3","female",24.201462802674,7.75,"Q","0","1","1"
"302","3","male",25.8509206313173,23.25,"Q","0","1","0"
"303","3","male",19,0,"S","0","0","1"
"304","2","female",35.2832199954615,12.35,"Q","1","1","1"
"305","3","male",28.1076897470946,8.05,"S","0","0","1"
"306","1","male",0.92,151.55,"S","1","1","0"
"307","1","female",31.0777257863052,110.8833,"C","0","1","1"
"308","1","female",17,108.9,"C","1","1","0"
"309","2","male",30,24,"C","0","0","0"
"310","1","female",30,56.9292,"C","1","1","1"
"311","1","female",24,83.1583,"C","1","1","1"
"312","1","female",18,262.375,"C","1","1","0"
"313","2","female",26,26,"S","0","0","0"
"314","3","male",28,7.8958,"S","0","0","1"
"315","2","male",43,26.25,"S","0","0","0"
"316","3","female",26,7.8542,"S","0","1","1"
"317","2","female",24,26,"S","0","1","0"
"318","2","male",54,14,"S","0","0","1"
"319","1","female",31,164.8667,"S","1","1","0"
"320","1","female",40,134.5,"C","1","1","0"
"321","3","male",22,7.25,"S","0","0","1"
"322","3","male",27,7.8958,"S","0","0","1"
"323","2","female",30,12.35,"Q","0","1","1"
"324","2","female",22,29,"S","0","1","0"
"325","3","male",11.2293093748357,69.55,"S","0","0","0"
"326","1","female",36,135.6333,"C","1","1","1"
"327","3","male",61,6.2375,"S","0","0","1"
"328","2","female",36,13,"S","1","1","1"
"329","3","female",31,20.525,"S","0","1","0"
"330","1","female",16,57.9792,"C","1","1","0"
"331","3","female",23.9750253228253,23.25,"Q","0","1","0"
"332","1","male",45.5,28.5,"S","1","0","1"
"333","1","male",38,153.4625,"S","1","0","0"
"334","3","male",16,18,"S","0","0","0"
"335","1","female",34.4397770652193,133.65,"S","0","1","0"
"336","3","male",29.7223590456845,7.8958,"S","0","0","1"
"337","1","male",29,66.6,"S","1","0","0"
"338","1","female",41,134.5,"C","1","1","1"
"339","3","male",45,8.05,"S","0","1","1"
"340","1","male",45,35.5,"S","1","0","1"
"341","2","male",2,26,"S","1","1","0"
"342","1","female",24,263,"S","1","1","0"
"343","2","male",28,13,"S","0","0","1"
"344","2","male",25,13,"S","0","0","1"
"345","2","male",36,13,"S","0","0","1"
"346","2","female",24,13,"S","1","1","1"
"347","2","female",40,13,"S","0","1","1"
"348","3","female",27.4322494846803,16.1,"S","0","1","0"
"349","3","male",3,15.9,"S","0","1","0"
"350","3","male",42,8.6625,"S","0","0","1"
"351","3","male",23,9.225,"S","0","0","1"
"352","1","male",48.0522025898054,35,"S","1","0","1"
"353","3","male",15,7.2292,"C","0","0","0"
"354","3","male",25,17.8,"S","0","0","0"
"355","3","male",28.9863446803816,7.225,"C","0","0","1"
"356","3","male",28,9.5,"S","0","0","1"
"357","1","female",22,55,"S","1","1","0"
"358","2","female",38,13,"S","0","0","1"
"359","3","female",24.1930489009924,7.8792,"Q","0","1","1"
"360","3","female",24.1930489009924,7.8792,"Q","0","1","1"
"361","3","male",40,27.9,"S","0","0","0"
"362","2","male",29,27.7208,"C","0","0","0"
"363","3","female",45,14.4542,"C","0","0","0"
"364","3","male",35,7.05,"S","0","0","1"
"365","3","male",31.6333349227846,15.5,"Q","0","0","0"
"366","3","male",30,7.25,"S","0","0","1"
"367","1","female",60,75.25,"C","1","1","0"
"368","3","female",20.7413034264253,7.2292,"C","0","1","1"
"369","3","female",24.5327580407692,7.75,"Q","0","1","1"
"370","1","female",24,69.3,"C","1","1","1"
"371","1","male",25,55.4417,"C","1","1","0"
"372","3","male",18,6.4958,"S","0","0","0"
"373","3","male",19,8.05,"S","0","0","1"
"374","1","male",22,135.6333,"C","0","0","1"
"375","3","female",3,21.075,"S","0","0","0"
"376","1","female",37.57658997114,82.1708,"C","0","1","0"
"377","3","female",22,7.25,"S","0","1","1"
"378","1","male",27,211.5,"C","1","0","0"
"379","3","male",20,4.0125,"C","0","0","1"
"380","3","male",19,7.775,"S","0","0","1"
"381","1","female",42,227.525,"C","0","1","1"
"382","3","female",1,15.7417,"C","0","1","0"
"383","3","male",32,7.925,"S","0","0","1"
"384","1","female",35,52,"S","0","1","0"
"385","3","male",27.9700105268576,7.8958,"S","0","0","1"
"386","2","male",18,73.5,"S","0","0","1"
"387","3","male",1,46.9,"S","0","0","0"
"388","2","female",36,13,"S","0","1","1"
"389","3","male",28.8571805923365,7.7292,"Q","0","0","1"
"390","2","female",17,12,"C","0","1","1"
"391","1","male",36,120,"S","1","1","0"
"392","3","male",21,7.7958,"S","0","1","1"
"393","3","male",28,7.925,"S","0","0","0"
"394","1","female",23,113.275,"C","1","1","0"
"395","3","female",24,16.7,"S","1","1","0"
"396","3","male",22,7.7958,"S","0","0","1"
"397","3","female",31,7.8542,"S","0","0","1"
"398","2","male",46,26,"S","0","0","1"
"399","2","male",23,10.5,"S","0","0","1"
"400","2","female",28,12.65,"S","0","1","1"
"401","3","male",39,7.925,"S","0","1","1"
"402","3","male",26,8.05,"S","0","0","1"
"403","3","female",21,9.825,"S","0","0","0"
"404","3","male",28,15.85,"S","0","0","0"
"405","3","female",20,8.6625,"S","0","0","1"
"406","2","male",34,21,"S","0","0","0"
"407","3","male",51,7.75,"S","0","0","1"
"408","2","male",3,18.75,"S","0","1","0"
"409","3","male",21,7.775,"S","0","0","1"
"410","3","female",8.12451900584795,25.4667,"S","0","0","0"
"411","3","male",28.9338970335293,7.8958,"S","0","0","1"
"412","3","male",25.4511776272184,6.8583,"Q","0","0","1"
"413","1","female",33,90,"Q","1","1","0"
"414","2","male",37.1156043898906,0,"S","0","0","1"
"415","3","male",44,7.925,"S","0","1","1"
"416","3","female",26.0911919979667,8.05,"S","0","0","1"
"417","2","female",34,32.5,"S","0","1","0"
"418","2","female",18,13,"S","0","1","0"
"419","2","male",30,13,"S","0","0","1"
"420","3","female",10,24.15,"S","0","0","0"
"421","3","male",28.2241798877923,7.8958,"C","0","0","1"
"422","3","male",21,7.7333,"Q","0","0","1"
"423","3","male",29,7.875,"S","0","0","1"
"424","3","female",28,14.4,"S","0","0","0"
"425","3","male",18,20.2125,"S","0","0","0"
"426","3","male",27.4915716481489,7.25,"S","0","0","1"
"427","2","female",28,26,"S","0","1","0"
"428","2","female",19,26,"S","0","1","1"
"429","3","male",32.5969840171646,7.75,"Q","0","0","1"
"430","3","male",32,8.05,"S","1","1","1"
"431","1","male",28,26.55,"S","1","1","1"
"432","3","female",27.2955590084899,16.1,"S","0","1","0"
"433","2","female",42,26,"S","0","1","0"
"434","3","male",17,7.125,"S","0","0","1"
"435","1","male",50,55.9,"S","1","0","0"
"436","1","female",14,120,"S","1","1","0"
"437","3","female",21,34.375,"S","0","0","0"
"438","2","female",24,18.75,"S","0","1","0"
"439","1","male",64,263,"S","1","0","0"
"440","2","male",31,10.5,"S","0","0","1"
"441","2","female",45,26.25,"S","0","1","0"
"442","3","male",20,9.5,"S","0","0","1"
"443","3","male",25,7.775,"S","0","0","0"
"444","2","female",28,13,"S","0","1","1"
"445","3","male",28.9151754926124,8.1125,"S","0","1","1"
"446","1","male",4,81.8583,"S","1","1","0"
"447","2","female",13,19.5,"S","0","1","0"
"448","1","male",34,26.55,"S","0","1","1"
"449","3","female",5,19.2583,"C","0","1","0"
"450","1","male",52,30.5,"S","1","1","1"
"451","2","male",36,27.75,"S","0","0","0"
"452","3","male",28.1074470549101,19.9667,"S","0","0","0"
"453","1","male",30,27.75,"C","1","0","1"
"454","1","male",49,89.1042,"C","1","1","0"
"455","3","male",30.1538650898157,8.05,"S","0","0","1"
"456","3","male",29,7.8958,"C","0","1","1"
"457","1","male",65,26.55,"S","1","0","1"
"458","1","female",40.6365723673952,51.8625,"S","1","1","0"
"459","2","female",50,10.5,"S","0","1","1"
"460","3","male",32.7322102076408,7.75,"Q","0","0","1"
"461","1","male",48,26.55,"S","1","1","1"
"462","3","male",34,8.05,"S","0","0","1"
"463","1","male",47,38.5,"S","1","0","1"
"464","2","male",48,13,"S","0","0","1"
"465","3","male",30.4147625257132,8.05,"S","0","0","1"
"466","3","male",38,7.05,"S","0","0","1"
"467","2","male",39.0922833220695,0,"S","0","0","1"
"468","1","male",56,26.55,"S","0","0","1"
"469","3","male",27.073871068527,7.725,"Q","0","0","1"
"470","3","female",0.75,19.2583,"C","0","1","0"
"471","3","male",28.0898604609343,7.25,"S","0","0","1"
"472","3","male",38,8.6625,"S","0","0","1"
"473","2","female",33,27.75,"S","0","1","0"
"474","2","female",23,13.7917,"C","1","1","1"
"475","3","female",22,9.8375,"S","0","0","1"
"476","1","male",44.3681121676752,52,"S","1","0","1"
"477","2","male",34,21,"S","0","0","0"
"478","3","male",29,7.0458,"S","0","0","0"
"479","3","male",22,7.5208,"S","0","0","1"
"480","3","female",2,12.2875,"S","0","1","0"
"481","3","male",9,46.9,"S","0","0","0"
"482","2","male",39.1972833220695,0,"S","0","0","1"
"483","3","male",50,8.05,"S","0","0","1"
"484","3","female",63,9.5875,"S","0","1","1"
"485","1","male",25,91.0792,"C","1","1","0"
"486","3","female",8.82710233918129,25.4667,"S","0","0","0"
"487","1","female",35,90,"S","1","1","0"
"488","1","male",58,29.7,"C","1","0","1"
"489","3","male",30,8.05,"S","0","0","1"
"490","3","male",9,15.9,"S","0","1","0"
"491","3","male",28.0191137215767,19.9667,"S","0","0","0"
"492","3","male",21,7.25,"S","0","0","1"
"493","1","male",55,30.5,"S","1","0","1"
"494","1","male",71,49.5042,"C","0","0","1"
"495","3","male",21,8.05,"S","0","0","1"
"496","3","male",24.7042513211489,14.4583,"C","0","0","1"
"497","1","female",54,78.2667,"C","1","1","0"
"498","3","male",28.1303529652146,15.1,"S","0","0","1"
"499","1","female",25,151.55,"S","1","0","0"
"500","3","male",24,7.7958,"S","0","0","1"
"501","3","male",17,8.6625,"S","0","0","1"
"502","3","female",21,7.75,"Q","0","0","1"
"503","3","female",23.9353411554062,7.6292,"Q","0","0","1"
"504","3","female",37,9.5875,"S","0","0","1"
"505","1","female",16,86.5,"S","1","1","1"
"506","1","male",18,108.9,"C","1","0","0"
"507","2","female",33,26,"S","0","1","0"
"508","1","male",51.3828271305343,26.55,"S","0","1","1"
"509","3","male",28,22.525,"S","0","0","1"
"510","3","male",26,56.4958,"S","0","1","1"
"511","3","male",29,7.75,"Q","0","1","1"
"512","3","male",29.4984279444879,8.05,"S","0","0","1"
"513","1","male",36,26.2875,"S","1","1","1"
"514","1","female",54,59.4,"C","0","1","0"
"515","3","male",24,7.4958,"S","0","0","1"
"516","1","male",47,34.0208,"S","1","0","1"
"517","2","female",34,10.5,"S","1","1","1"
"518","3","male",32.0801461723983,24.15,"Q","0","0","1"
"519","2","female",36,26,"S","0","1","0"
"520","3","male",32,7.8958,"S","0","0","1"
"521","1","female",30,93.5,"S","1","1","1"
"522","3","male",22,7.8958,"S","0","0","1"
"523","3","male",28.3496981993187,7.225,"C","0","0","1"
"524","1","female",44,57.9792,"C","1","1","0"
"525","3","male",26.837801554297,7.2292,"C","0","0","1"
"526","3","male",40.5,7.75,"Q","0","0","1"
"527","2","female",50,10.5,"S","0","1","1"
"528","1","male",39.0518347189614,221.7792,"S","1","0","1"
"529","3","male",39,7.925,"S","0","0","1"
"530","2","male",23,11.5,"S","0","0","0"
"531","2","female",2,26,"S","0","1","0"
"532","3","male",26.9671197361152,7.2292,"C","0","0","1"
"533","3","male",17,7.2292,"C","0","0","0"
"534","3","female",13.1895774605786,22.3583,"C","0","1","0"
"535","3","female",30,8.6625,"S","0","0","1"
"536","2","female",7,26.25,"S","0","1","0"
"537","1","male",45,26.55,"S","1","0","1"
"538","1","female",30,106.425,"C","0","1","1"
"539","3","male",27.4477296734736,14.5,"S","0","0","1"
"540","1","female",22,49.5,"C","1","1","0"
"541","1","female",36,71,"S","1","1","0"
"542","3","female",9,31.275,"S","0","0","0"
"543","3","female",11,31.275,"S","0","0","0"
"544","2","male",32,26,"S","0","1","0"
"545","1","male",50,106.425,"C","1","0","0"
"546","1","male",64,26,"S","0","0","1"
"547","2","female",19,26,"S","0","1","0"
"548","2","male",32.9972588053822,13.8625,"C","0","1","1"
"549","3","male",33,20.525,"S","0","0","0"
"550","2","male",8,36.75,"S","0","1","0"
"551","1","male",17,110.8833,"C","1","1","0"
"552","2","male",27,26,"S","0","0","1"
"553","3","male",30.6647391052501,7.8292,"Q","0","0","1"
"554","3","male",22,7.225,"C","0","1","1"
"555","3","female",22,7.775,"S","0","1","1"
"556","1","male",62,26.55,"S","0","0","1"
"557","1","female",48,39.6,"C","1","1","0"
"558","1","male",37.007016025641,227.525,"C","0","0","1"
"559","1","female",39,79.65,"S","1","1","0"
"560","3","female",36,17.4,"S","0","1","0"
"561","3","male",33.8814282690658,7.75,"Q","0","0","1"
"562","3","male",40,7.8958,"S","0","0","1"
"563","2","male",28,13.5,"S","0","0","1"
"564","3","male",29.7843597626698,8.05,"S","0","0","1"
"565","3","female",25.5818204412143,8.05,"S","0","0","1"
"566","3","male",24,24.15,"S","0","0","0"
"567","3","male",19,7.8958,"S","0","0","1"
"568","3","female",29,21.075,"S","0","0","0"
"569","3","male",27.3522030694485,7.2292,"C","0","0","1"
"570","3","male",32,7.8542,"S","0","1","1"
"571","2","male",62,10.5,"S","0","1","1"
